stock, date, compound score
AAPL,2014-01-01,0.0521875
AAPL,2014-01-02,0.1919484848484848
AAPL,2014-01-03,0.058680952380952375
AAPL,2014-01-04,0.13924
AAPL,2014-01-05,0.30075
AAPL,2014-01-06,0.11915217391304346
AAPL,2014-01-07,0.1890866666666667
AAPL,2014-01-08,0.24600909090909087
AAPL,2014-01-09,0.05892222222222222
AAPL,2014-01-10,-0.0019200000000000018
AAPL,2014-01-11,0.20365714285714284
AAPL,2014-01-12,0.007375000000000003
AAPL,2014-01-13,0.08017857142857143
AAPL,2014-01-14,0.06707500000000001
AAPL,2014-01-15,0.21372631578947376
AAPL,2014-01-16,-0.0013760000000000278
AAPL,2014-01-19,0.42060000000000003
AAPL,2014-01-20,0.28034
AAPL,2014-01-21,0.11814615384615387
AAPL,2014-01-22,0.16447428571428577
AAPL,2014-01-23,0.0934
AAPL,2014-01-24,0.14046829268292685
AAPL,2014-01-25,0.22924375
AAPL,2014-01-26,0.03977499999999999
AAPL,2014-01-27,0.09369787234042552
AAPL,2014-01-28,0.12906093750000006
AAPL,2014-01-29,0.018583333333333327
AAPL,2014-01-30,0.019590476190476196
AAPL,2014-01-31,0.11117777777777776
AAPL,2014-02-01,0.055891666666666666
AAPL,2014-02-02,0.09724666666666668
AAPL,2014-02-03,0.1197157894736842
AAPL,2014-02-04,0.09885238095238094
AAPL,2014-02-05,0.1322888888888889
AAPL,2014-02-06,0.011028571428571428
AAPL,2014-02-07,0.1397618181818182
AAPL,2014-02-08,0.13792941176470586
AAPL,2014-02-09,0.29934000000000005
AAPL,2014-02-10,0.2349689655172414
AAPL,2014-02-11,0.2255047619047619
AAPL,2014-02-12,0.23113529411764708
AAPL,2014-02-13,0.18466333333333337
AAPL,2014-02-14,0.22079411764705886
AAPL,2014-02-15,0.20333333333333337
AAPL,2014-02-16,0.08091290322580648
AAPL,2014-02-17,0.09121333333333334
AAPL,2014-02-18,0.07048484848484848
AAPL,2014-02-19,0.19225
AAPL,2014-02-20,0.056545454545454545
AAPL,2014-02-21,0.07803571428571429
AAPL,2014-02-22,0.31905882352941184
AAPL,2014-02-23,-0.02661
AAPL,2014-02-24,0.204875
AAPL,2014-02-25,0.014536363636363635
AAPL,2014-02-26,0.20531764705882355
AAPL,2014-02-27,0.11647948717948718
AAPL,2014-02-28,0.0870361111111111
AAPL,2014-03-01,-0.14773529411764705
AAPL,2014-03-02,-0.04639999999999998
AAPL,2014-03-03,-0.023042857142857143
AAPL,2014-03-04,-0.18254705882352945
AAPL,2014-03-05,-0.1353863636363637
AAPL,2014-03-06,-0.03779285714285715
AAPL,2014-03-07,-0.03987037037037036
AAPL,2014-03-08,0.08110833333333334
AAPL,2014-03-09,0.0625
AAPL,2014-03-10,0.21386666666666668
AAPL,2014-03-11,0.096835
AAPL,2014-03-12,-0.001768421052631577
AAPL,2014-03-13,0.08154615384615384
AAPL,2014-03-14,0.08125263157894738
AAPL,2014-03-15,0.13777499999999998
AAPL,2014-03-16,0.07508888888888889
AAPL,2014-03-17,0.018313333333333338
AAPL,2014-03-18,-0.016982758620689653
AAPL,2014-03-19,-0.036945454545454545
